wall_ms,symbol,big_ex,small_ex,big_bid,big_ask,big_mid,small_bid,small_ask,small_mid,spread_pct,baseline_pct,anomaly_pct
1777604261206,DOGEUSDT,binance,gate,0.108460,0.108470,0.108465,0.108430,0.108440,0.108435,0.0277,0.0000,0.0277
1777604261220,DOGEUSDT,okx,gate,0.108450,0.108460,0.108455,0.108430,0.108440,0.108435,0.0184,0.0000,0.0184
1777604261205,SOLUSDT,binance,gate,83.520000,83.530000,83.525000,83.520000,83.530000,83.525000,0.0000,0.0000,0.0000
1777604261136,SOLUSDT,okx,gate,83.520000,83.530000,83.525000,83.520000,83.530000,83.525000,0.0000,0.0000,0.0000
1777604261208,BTCUSDT,binance,gate,76500.100000,76500.200000,76500.150000,76493.100000,76493.200000,76493.150000,0.0092,0.0000,0.0092
1777604261029,BTCUSDT,okx,gate,76500.000000,76500.100000,76500.050000,76493.100000,76493.200000,76493.150000,0.0090,0.0000,0.0090
1777604260851,API3USDT,binance,gate,0.386700,0.386800,0.386750,0.386400,0.386600,0.386500,0.0647,0.0000,0.0647
1777604261136,API3USDT,okx,gate,0.388100,0.388200,0.388150,0.386400,0.386600,0.386500,0.4269,0.0000,0.4269
1777604261208,SUIUSDT,binance,gate,0.910700,0.910800,0.910750,0.910600,0.910700,0.910650,0.0110,0.0000,0.0110
1777604261225,SUIUSDT,okx,gate,0.910700,0.910800,0.910750,0.910600,0.910700,0.910650,0.0110,0.0000,0.0110
1777604261208,OPGUSDT,binance,gate,0.241100,0.241300,0.241200,0.241600,0.241700,0.241650,-0.1862,0.0000,-0.1862
1777604261225,OPGUSDT,okx,gate,0.241800,0.241900,0.241850,0.241600,0.241700,0.241650,0.0828,0.0000,0.0828
1777604261208,BSBUSDT,binance,gate,0.570000,0.570010,0.570005,0.569210,0.569940,0.569575,0.0755,0.0000,0.0755
1777604261136,BSBUSDT,okx,gate,0.569900,0.570100,0.570000,0.569210,0.569940,0.569575,0.0746,0.0000,0.0746
1777604260590,FARTCOINUSDT,okx,gate,0.199000,0.199100,0.199050,0.199110,0.199120,0.199115,-0.0326,0.0000,-0.0326
1777604261208,ZBTUSDT,binance,gate,0.187210,0.187220,0.187215,0.187130,0.187460,0.187295,-0.0427,0.0000,-0.0427
1777604261136,ZBTUSDT,okx,gate,0.187220,0.187230,0.187225,0.187130,0.187460,0.187295,-0.0374,0.0000,-0.0374
1777604261205,UBUSDT,binance,gate,0.073530,0.073570,0.073550,0.073430,0.073530,0.073480,0.0953,0.0000,0.0953
1777604261225,UBUSDT,okx,gate,0.073540,0.073570,0.073555,0.073430,0.073530,0.073480,0.1021,0.0000,0.1021
