signal_time_ms,symbol,direction,big_ex,small_ex,initial_anomaly_bps,baseline_bps,big_move_bps,converged,converge_time_ms,duration_ms,max_abs_anomaly_bps,final_anomaly_bps,observations
1776409703161,ORDIUSDT,short,okx,gate,-35.035,0.114,-0.608,1,1776409718638,15477,35.035,0.057,28
1776409703161,ORDIUSDT,short,okx,bitget,-29.261,0.038,-0.608,1,1776409718384,15223,29.261,0.025,29
1776409703161,ORDIUSDT,short,okx,htx,-17.262,0.089,-0.608,1,1776409703526,365,17.262,0.039,33
1776409726028,BASEDUSDT,short,okx,gate,-76.524,-0.193,-0.348,1,1776409741038,15010,76.524,0.071,35
1776409726028,BASEDUSDT,short,okx,bitget,-57.258,-0.205,-0.348,1,1776409728330,2302,57.258,0.163,42
1776409726028,BASEDUSDT,short,okx,htx,-31.355,-0.071,-0.348,1,1776409726431,403,31.355,0.306,37
1776409815337,ORDIUSDT,long,okx,gate,42.541,0.025,0.325,1,1776409820385,5048,42.541,0.055,44
1776409815337,ORDIUSDT,long,okx,bitget,3.703,0.038,0.325,1,1776409815735,398,3.703,-0.143,43
1776409815337,ORDIUSDT,long,okx,htx,2.028,-0.158,0.325,1,1776409816142,805,2.028,0.012,45
1776410161483,ORDIUSDT,long,okx,gate,41.919,0.074,0.332,1,1776410188865,27382,41.919,-0.911,45
1776410161483,ORDIUSDT,long,okx,bitget,30.652,0.025,0.332,1,1776410177202,15719,30.652,-0.025,45
1776410161483,ORDIUSDT,long,okx,htx,21.353,-0.087,0.332,1,1776410170411,8928,21.353,0.174,41
1776410248403,BASEDUSDT,short,okx,gate,-45.783,-0.195,-0.320,1,1776410271990,23587,45.783,-0.087,44
1776410248403,BASEDUSDT,short,okx,bitget,-43.276,-0.139,-0.320,1,1776410255515,7112,43.276,-0.137,43
1776410307730,BASEDUSDT,long,binance,bitget,5.884,-0.019,0.312,1,1776410308435,705,5.884,0.219,38
1776410336823,ENJUSDT,short,okx,gate,-125.814,-0.085,-0.309,1,1776410376350,39527,125.814,0.179,40
1776410336823,ENJUSDT,short,okx,htx,-74.738,0.411,-0.309,1,1776410350885,14062,74.738,0.106,41
1776410630791,ORDIUSDT,long,binance,gate,53.850,0.031,0.301,1,1776410657628,26837,53.850,0.013,47
1776410630791,ORDIUSDT,long,binance,htx,19.824,-0.006,0.301,1,1776410631509,718,19.824,-0.019,43
1776410726978,BASEDUSDT,short,binance,gate,-12.262,-0.135,-0.315,1,1776410727237,259,12.262,-0.320,41
1776410726978,BASEDUSDT,short,binance,htx,-68.976,-0.131,-0.315,1,1776410728243,1265,68.976,-0.293,38
1776410727107,BASEDUSDT,short,binance,bitget,-1.889,0.008,-0.352,1,1776410728111,1004,1.889,-0.131,41
1776410893916,RAVEUSDT,long,okx,bitget,79.357,1.086,0.339,1,1776410894782,866,79.357,-0.126,41
1776410893916,RAVEUSDT,long,okx,htx,102.453,0.746,0.339,1,1776410896364,2448,102.453,0.005,46
1776410911376,RAVEUSDT,short,okx,gate,-49.226,-0.466,-0.343,1,1776410911893,517,49.226,0.082,48
1776411509773,ENJUSDT,short,binance,bitget,-18.111,-0.067,-0.303,1,1776411510800,1027,18.111,-0.095,30
1776411509773,ENJUSDT,short,binance,htx,-4.793,0.074,-0.303,1,1776411510544,771,4.793,-0.020,31
1776411602516,ORDIUSDT,short,okx,bitget,-10.779,-0.019,-0.399,1,1776411602819,303,10.779,-0.026,44
1776411602516,ORDIUSDT,short,okx,htx,-22.156,-0.051,-0.399,1,1776411603867,1351,22.156,-0.306,47
1776412241586,IPUSDT,short,okx,gate,-104.614,0.008,-0.408,1,1776412271907,30321,104.614,-0.309,50
1776412241586,IPUSDT,short,okx,bitget,-94.252,0.088,-0.408,1,1776412271191,29605,94.252,-0.243,53
1776412255590,ORDIUSDT,short,okx,htx,-7.912,0.020,-0.315,1,1776412257541,1951,7.912,-0.579,47
1776412350971,GIGGLEUSDT,short,binance,gate,-50.895,-0.100,-0.473,1,1776412375141,24170,50.895,-0.015,32
1776412350971,GIGGLEUSDT,short,binance,bitget,-65.637,-0.186,-0.473,1,1776412356580,5609,65.637,-0.103,34
1776412350971,GIGGLEUSDT,short,binance,htx,-52.171,-0.061,-0.473,1,1776412353925,2954,52.171,-0.002,38
1776412357271,ORDIUSDT,short,okx,gate,-181.765,0.007,-0.349,1,1776412410519,53248,181.765,0.164,50
1776412357271,ORDIUSDT,short,okx,bitget,-164.351,0.145,-0.349,1,1776412401562,44291,164.351,0.141,52
1776412357271,ORDIUSDT,short,okx,htx,-147.277,0.033,-0.349,1,1776412373093,15822,147.277,0.273,44
1776412359424,ORDIUSDT,short,okx,gate,-315.998,0.007,-0.732,1,1776412410519,51095,315.998,0.171,50
1776412359424,ORDIUSDT,short,okx,bitget,-295.607,0.145,-0.732,1,1776412401562,42138,295.607,0.099,52
1776412359424,ORDIUSDT,short,okx,htx,-190.872,0.033,-0.732,1,1776412373093,13669,190.872,-0.211,43
1776412366587,ORDIUSDT,short,okx,gate,-435.617,0.000,-0.503,1,1776412410519,43932,435.617,-0.474,51
1776412366587,ORDIUSDT,short,okx,bitget,-415.457,0.145,-0.503,1,1776412401562,34975,415.457,-0.079,51
1776412366587,ORDIUSDT,short,okx,htx,-280.557,0.013,-0.503,1,1776412373093,6506,280.557,-0.542,43
1776412373093,ORDIUSDT,long,okx,htx,15.284,0.007,0.523,1,1776412377166,4073,15.284,-0.597,52
1776412376634,ORDIUSDT,long,okx,htx,4.126,0.000,0.442,1,1776412377166,532,4.126,-0.597,49
1776412379031,ORDIUSDT,short,okx,htx,-13.082,0.000,-0.371,1,1776412383660,4629,13.082,-0.597,47
1776412383660,ORDIUSDT,short,okx,htx,-33.268,0.007,-0.353,1,1776412385886,2226,33.268,-0.597,42
1776412384343,ORDIUSDT,long,okx,htx,71.026,0.000,0.556,1,1776412385886,1543,71.026,-0.597,42
1776412491760,ORDIUSDT,long,okx,bitget,28.565,0.046,0.389,1,1776412514405,22645,28.565,-0.061,51
1776412596138,BASEDUSDT,short,okx,gate,-32.453,-0.154,-0.315,1,1776412596546,408,32.453,-0.158,36
1776412596138,BASEDUSDT,short,okx,bitget,-21.766,-0.124,-0.315,1,1776412596546,408,21.766,-0.220,39
1776412596138,BASEDUSDT,short,okx,htx,-33.121,-0.251,-0.315,1,1776412597100,962,33.121,-0.051,47
1776413399082,RAVEUSDT,long,okx,htx,81.975,0.711,0.326,1,1776413400319,1237,81.975,0.313,41
