省份,城市,区域,院校名称,建校时间,隶属于,985工程,211工程,双一流,强基,国家重点学科,硕士点,博士点,重点实验室,占地面积(亩),院校类型,办学类型,办学性质,电子邮箱,地址,官方网址,官方电话,简介
陕西,西安市,碑林区,西北大学,1902,陕西省,,是,是,,9,36,24,3,2360,综合类,普通本科,公办,zsb@nwu.edu.cn,"长安校区：西安市长安区郭杜教育科技产业区学府大道1号,太白校区：西安市太白北路229号",http://www.nwu.edu.cn/,029-88302211,西北大学肇始于1902年的陕西大学堂和京师大学堂速成科仕学馆。1912年始称西北大学。1923年改为国立西北大学。1937年西迁来陕的国立北平大学、北平师范大学、北洋工学院和北平研究院等组成国立西安临时大学，1938年改为国立西北联合大学，1939年复称国立西北大学。新中国成立后为教育部直属综合大学。1950年复名西北大学。1958年改隶陕西省主管。1978年被确定为全国重点大
湖北,武汉市,武昌区,武汉大学,1893,教育部,是,是,是,是,41,59,49,24,5195,综合类,普通本科,公办,wlxxs@whu.edu.cn,湖北省武汉市武昌区八一路299号,http://www.whu.edu.cn/,027-68754231,江城多山，珞珈独秀;山上有黉，武汉大学。武汉大学是国家教育部直属重点综合性大学，是国家“985工程”和“211工程”重点建设高校，是首批“双一流”建设高校。武汉大学溯源于1893年清末湖广总督张之洞奏请清政府创办的自强学堂，历经传承演变，1928年定名为国立武汉大学，是近代中国第一批国立大学。1946年，学校已形成文、法、理、工、农、医6大学院并驾齐驱的办学
内蒙古,呼和浩特市,赛罕区,内蒙古大学,1957,内蒙古自治区,,是,是,,5,23,12,2,3802,综合类,普通本科,公办,ndzs2008@imu.edu.cn,"北校区：呼和浩特市赛罕区大学西街235号,南校区：呼和浩特市玉泉区昭君路24号,满洲里校区：满洲里市华埠大街1号",http://www.imu.edu.cn/,"0471-4993105,0471-4993164",【历史沿革】内蒙古大学位于内蒙古自治区首府、历史文化名城呼和浩特市，距北京400余公里，是中华人民共和国成立后党和国家在少数民族地区创办的第一所综合大学。学校于1957年高起点创办，时任国务院副总理、自治区主席乌兰夫任首任校长（1956—1968），原高教部综合大学司副司长于北辰任副校长，中科院学部委员、著名生物学家、北京大学一级教授、耶鲁大学博士李
湖南,长沙市,岳麓区,湖南大学,1976,教育部,是,是,是,,10,35,28,3,3597,综合类,普通本科,公办,admi@hnu.cn,湖南省长沙市岳麓区麓山南路麓山门,http://www.hnu.edu.cn/,"0731-88823560,0731-88823067,0731-88823578,0731-88823565",湖南大学位于中国历史文化名城长沙，校区坐落在湘江之滨、岳麓山下，享有“千年学府，百年名校”之誉。学校办学历史悠久、教育传统优良，是教育部直属全国重点大学、国家“211工程”“985工程”重点建设高校、国家“世界一流大学”建设高校。湖南大学办学起源于公元976年创建的岳麓书院，历经宋、元、明、清等朝代的变迁，始终保持着文化教育教学的连续性。1903年
云南,昆明市,呈贡区,云南大学,1922,云南省,,是,是,,4,42,21,2,4364,综合类,普通本科,公办,zszx@ynu.edu.cn,云南省昆明市翠湖北路2号,http://www.ynu.edu.cn/,"0871-65033819,0871-65032173,0871-65939873",云南大学始建于1922年，时为私立东陆大学，1934年更名为省立云南大学，1938年改为国立云南大学，是我国西部边疆最早建立的综合性大学之一。1937年，著名数学家、教育家熊庆来出任校长，一大批著名学者受聘到校任教，奠定了学校较高的发展基点和深厚的学术底蕴，开创了云大办学历史上的第一个辉煌时期。20世纪40年代，云南大学已发展成为一所包括文、法、理、工、农、
黑龙江,哈尔滨市,南岗区,哈尔滨工业大学,1920,工业和信息化部,是,是,是,是,21,42,28,15,5212,理工类,普通本科,公办,hitzsb@hit.edu.cn,黑龙江省哈尔滨市南岗区西大直街92号,http://www.hit.edu.cn,"0451-86414671,0451-86414771",哈尔滨工业大学(简称哈工大)，隶属于工业和信息化部，拥有哈尔滨、威海、深圳三个校区，是一所以理工为主，理、工、管、文、经、法、艺等多学科协调发展的国家重点大学。学校始建于1920年，1951年被确定为全国学习国外高等教育办学模式的两所样板大学之一，1954年进入国家首批重点建设的6所高校行列(京外唯一一所)，是新中国第一所本科五年制、研究生三年制、毕业生
北京,北京市,海淀区,北京邮电大学,1955,教育部,,是,是,,2,22,10,4,693,理工类,普通本科,公办,zsb@bupt.edu.cn,北京市西土城路10号,http://www.bupt.edu.cn,"010-62282045,010-62283407",六十余载风雨砥砺，六十余载春华秋实。明光之北、蓟门之南，古老的城墙，见证了永不消逝的电波;鸿雁翱翔、银杏巍巍，坚实的土地，承载了信息黄埔的传奇。北京邮电大学是教育部直属、工业和信息化部共建、首批进行“211工程”建设的全国重点大学，是“985优势学科创新平台”项目重点建设高校，是一所以信息科技为特色、工学门类为主体、工管文理协调发展的多科性
北京,北京市,朝阳区,北京中医药大学,1956,教育部,,是,是,,3,7,3,1,1625,医药类,普通本科,公办,zs@bucm.edu.cn,北京市朝阳区北三环东路11号,http://www.bucm.edu.cn/,010-64286231,北京中医药大学是一所以中医药学为主干学科的全国重点大学，是唯一进入国家“211工程”建设的高等中医药院校，是国家“985优势学科创新平台”建设高校，是国家一流学科建设高校，直属教育部管理，由教育部、国家卫生健康委员会、国家中医药管理局和北京市共建。北京中医药大学始建于1956年，前身为北京中医学院，是国务院批准最早创办的高等中医药院校。1960年，被
北京,北京市,海淀区,北京交通大学,1896,教育部,,是,是,,5,33,21,2,1000,理工类,普通本科,公办,jwss@bjtu.edu.cn,北京市海淀区西直门外上园村3号,https://www.bjtu.edu.cn/,010-51688441,北京交通大学是教育部直属，教育部、北京市人民政府、中国铁路总公司共建的全国重点大学，“211工程”“985工程优势学科创新平台”项目建设高校和具有研究生院的全国首批博士、硕士学位授予高校。学校牵头的“2011计划”“轨道交通安全协同创新中心”是国家首批14个认定的协同创新中心之一。2017年，学校正式进入国家“双一流”建设行列，将围绕优势特色学科，重点
北京,北京市,海淀区,北京林业大学,1952,教育部,,是,是,,5,25,8,2,13176,农林类,普通本科,公办,blzsb@bjfu.edu.cn,北京市海淀区清华东路35号,http://www.bjfu.edu.cn/,"010-62338216,010-62338222",北京林业大学是教育部直属、教育部与国家林业局共建的全国重点大学。学校办学历史可追溯至1902年的京师大学堂农业科林学目。1952年全国高校院系调整，北京农业大学森林系与河北农学院森林系合并，成立北京林学院。1956年，北京农业大学造园系和清华大学建筑系部分并入学校。1960年被列为全国重点高等院校，1981年成为首批具有博士、硕士学位授予权的高校。1985年更名
